"","center","location","long","lat"
"1","Edendale Library - Echo Park ","2011 Sunset Blvd., Los Angeles, CA 90026",-118.262319,34.07817
"2","Dodger Stadium ","1101 Scott Ave., Los Angeles, CA 90012",-118.244901,34.0749209
"3","Lincoln Park ","3501 Valley Blvd., Los Angeles, CA 90031",-118.2059025,34.0654262
"4","Crenshaw Christian Center ","7901 S. Vermont Ave., Los Angeles, CA 90044",-118.2917513,33.9677748
"5","Kedren Community Health Center ","4211 Avalon, Los Angeles, CA 90011",-118.2654638,34.0073395
"6","VA Lot 15 ","100 Constitution Ave., Los Angeles, CA 90095",-118.459646,34.0584731
"7","Hansen Dam Recreational Center ","11798 Foothill Blvd., Lake View Terrace, CA 91342",-118.3897596,34.2713627
"8","West Valley/Warner Center ","6097 Canoga Ave., Woodland Hills, CA 91367",-118.597547,34.1810006
"9","L.A. Union ","800 N. Alameda St., Los Angeles, CA 90012",-118.2365021,34.0562196
"10","Exposition Park ","3986 South Hoover Street, Los Angeles, CA 90037",-118.2849153,34.0115444
"11","Consulate General of Mexico ","2401 W 6th St., Los Angeles 90057",-118.2778316,34.061711
"12","St. John’s Well Child and Family Center – Magnolia Place ","1910 Magnolia Ave. Los Angeles, CA 90007",-118.285642,34.0394723
"13","St. John’s Well Child and Family Center – Warner Traynham Clinic ","326 W. 23rd St. Los Angeles, CA 90007",-118.2715078,34.0293807
"14","Total Testing Solution - MacArthur Park ","2130 James M Wood Blvd, Los Angeles, CA 90006",-118.2795673,34.0535147
"15","Wesley Health Centers - East Hollywood ","954 Vermont Ave., Los Angeles, CA 90029",-118.2914425,34.0889574
"16","Rite Aid - Mid City ","959 Crenshaw Blvd., Los Angeles, CA 90019",-118.3231419,34.0551214
"17","Central Neighborhood Health Foundation ","2707 S. Central Ave., Los Angeles, CA 90011",-118.255723,34.0175925
"18","CVS - Eagle Rock ","1030 Colorado Boulevard, CA 90041",-118.188786,34.13724
"19","Comprehensive Community Health Centers - Eagle Rock ","1704 Colorado Blvd, Eagle Rock, CA 90041",-118.2039119,34.1391136
"20","Clinica Romero - Pico/Westlake ","123 S Alvarado St., Los Angeles, CA 90057",-118.2710977,34.066049
"21","CVS - Los Angeles ","1919 S. Hoover St., Los Angeles, CA 90007",-118.2845537,34.0392195
"22","QueensCare Health Centers - Westlake North ","303 South Loma Drive, Suite 202, Los Angeles, CA 90017",-118.2664122,34.0598387
"23","To Help Everyone Health and Wellness Centers - Ruth Temple/Western ","3834 S. Western Ave., Los Angeles 90092",-118.3086601,34.0161145
"24","To Help Everyone Health and Wellness Centers - La Brea ","3721 S. La Brea Ave., Los Angeles 90016",-118.3560481,34.0190132
"25","Center for Community Health ","522 South San Pedro St., Los Angeles, CA 90013",-118.2437768,34.0432489
"26","Angeles Community Health Center ","1919 W 7th Street 1st Floor Los Angeles, CA 90057",-118.2750391,34.0559882
"27","Los Angeles Christian Health Centers - Joshua House ","311 Winston St. Los Angeles, CA 90013",-118.2447133,34.0456776
"28","Los Angeles Christian Health Centers - Pico Aliso ","1625 E. 4th St. Los Angeles, CA 90033",-118.2219334,34.0431498
"29","California State University, Los Angeles ","5151 State University Drive, Los Angeles, CA 90032",-118.1736587,34.0620391
"30","East LA College ","1301 Avenida Cesar Chavez, Monterey Park, CA 91754 - Stadium Parking Lot on the corner of Floral Drive and Bleakwood Avenue - MAP",-118.1509336,34.0410705
"31","CVS - Los Angeles ","5176 East Whittier Boulevard, CA 90022",-118.1579305,34.0198923
"32","Comprehensive Community Health Centers - Highland Park ","5059 York Blvd, Highland Park, CA 90042",-118.2048944,34.1213274
"33","Total Testing Solutions - Boyle Heights ","1724 Pennsylvania Ave, Los Angeles, CA 90033",-118.218607,34.047887
"34","Clinica Romero - Boyle Heights ","2032 Marengo St., Los Angeles, CA 90033",-118.2076132,34.0563576
"35","Via Care Community Health Center ","507 S. Atlantic Blvd., Los Angeles 90022",-118.1558735,34.0267769
"36","Via Care Community Health Center ","4755 E. Cesar E. Chavez Blvd., Los Angeles 90022",-118.1628503,34.0409162
"37","Venice Family Clinic - Irma Colen Family Heatlh Center ","4700 Inglewood Blvd., Culver City 90430",-118.4146573,33.9938312
"38","Venice Family Clinic - Milken Family Medical Building ","604 Rose Ave., Venice, 90291",-118.4715237,33.9991486
"39","Rite Aid - West LA ","11321 National Blvd., Los Angeles, CA 90064",-118.4324655,34.0263987
